PsetID,Program,Outlays,Year
344,Medicare,600,2014
354,Medicare,600,2014
364,Medicare,600,2015
374,Medicare,600,2015
384,Medicare,600,2015
394,Medicare,600,2016
404,Medicare,600,2016
414,Medicare,600,2017
424,Medicare,600,2017
434,Medicare,600,2017
444,Medicare,600,2018
454,Medicare,600,2018
464,Medicare,600,2018
474,Medicare,600,2019
484,Medicare,600,2019
494,Medicare,600,2019
504,Medicare,600,2020
514,Medicare,600,2020
524,Medicare,600,2021
540,Medicare,600,2021
544,Medicare,600,2022
554,Medicare,600,2022
564,Medicare,600,2022
574,Medicare,600,2023
584,Medicare,600,2023
594,Medicare,600,2023
604,Medicare,600,2024
254,Medicare,600,2013
264,Medicare,600,2013
284,Medicare,600,2013
294,Medicare,600,2014
304,Medicare,600,2014
314,Medicare,600,2014
324,Medicare,600,2014
334,Medicare,600,2015
344,Medicare,600,2015
354,Medicare,600,2015
364,Medicare,600,2016
374,Medicare,600,2016
384,Medicare,600,2016
394,Medicare,600,2017
404,Medicare,600,2017
414,Medicare,600,2018
424,Medicare,600,2018
434,Medicare,600,2018
444,Medicare,600,2019
454,Medicare,600,2019
464,Medicare,600,2019
474,Medicare,600,2020
484,Medicare,600,2020
494,Medicare,600,2020
504,Medicare,600,2021
514,Medicare,600,2021
524,Medicare,600,2022
540,Medicare,600,2022
544,Medicare,600,2023
554,Medicare,600,2023
564,Medicare,600,2023
574,Medicare,600,2024
584,Medicare,600,2024
594,Medicare,600,2024
604,Medicare,600,2025
254,Medicare,600,2014
264,Medicare,600,2014
284,Medicare,600,2014
294,Medicare,600,2015
304,Medicare,600,2015
314,Medicare,600,2015
324,Medicare,600,2015
334,Medicare,600,2016
344,Medicare,600,2016
354,Medicare,600,2016
364,Medicare,600,2017
374,Medicare,600,2017
384,Medicare,600,2017
394,Medicare,600,2018
404,Medicare,600,2018
414,Medicare,600,2019
424,Medicare,600,2019
434,Medicare,600,2019
444,Medicare,600,2020
454,Medicare,600,2020
464,Medicare,600,2020
474,Medicare,600,2021
484,Medicare,600,2021
494,Medicare,600,2021
504,Medicare,600,2022
514,Medicare,600,2022
524,Medicare,600,2023
540,Medicare,600,2023
544,Medicare,600,2024
554,Medicare,600,2024
564,Medicare,600,2024
574,Medicare,600,2025
584,Medicare,600,2025
594,Medicare,600,2025
604,Medicare,600,2026
254,Medicare,600,2015
264,Medicare,600,2015
284,Medicare,600,2015
294,Medicare,600,2016
304,Medicare,600,2016
314,Medicare,600,2016
324,Medicare,600,2016
334,Medicare,600,2017
344,Medicare,600,2017
354,Medicare,600,2017
364,Medicare,600,2018
374,Medicare,600,2018
384,Medicare,600,2018
394,Medicare,600,2019
404,Medicare,600,2019
414,Medicare,600,2020
424,Medicare,600,2020
434,Medicare,600,2020
444,Medicare,600,2021
454,Medicare,600,2021
464,Medicare,600,2021
474,Medicare,600,2022
484,Medicare,600,2022
494,Medicare,600,2022
504,Medicare,600,2023
514,Medicare,600,2023
524,Medicare,600,2024
540,Medicare,600,2024
544,Medicare,600,2025
554,Medicare,600,2025
564,Medicare,600,2025
574,Medicare,600,2026
584,Medicare,600,2026
594,Medicare,600,2026
604,Medicare,600,2027
254,Medicare,600,2016
264,Medicare,600,2016
284,Medicare,600,2016
294,Medicare,600,2017
304,Medicare,600,2017
314,Medicare,600,2017
324,Medicare,600,2017
334,Medicare,600,2018
344,Medicare,600,2018
354,Medicare,600,2018
364,Medicare,600,2019
374,Medicare,600,2019
384,Medicare,600,2019
394,Medicare,600,2020
404,Medicare,600,2020
414,Medicare,600,2021
424,Medicare,600,2021
434,Medicare,600,2021
444,Medicare,600,2022
454,Medicare,600,2022
464,Medicare,600,2022
474,Medicare,600,2023
484,Medicare,600,2023
494,Medicare,600,2023
504,Medicare,600,2024
514,Medicare,600,2024
524,Medicare,600,2025
540,Medicare,600,2025
544,Medicare,600,2026
554,Medicare,600,2026
564,Medicare,600,2026
574,Medicare,600,2027
584,Medicare,600,2027
594,Medicare,600,2027
604,Medicare,600,2028
254,Medicare,600,2017
264,Medicare,600,2017
284,Medicare,600,2017
294,Medicare,600,2018
304,Medicare,600,2018
314,Medicare,600,2018
324,Medicare,600,2018
334,Medicare,600,2019
344,Medicare,600,2019
354,Medicare,600,2019
364,Medicare,600,2020
374,Medicare,600,2020
384,Medicare,600,2020
394,Medicare,600,2021
404,Medicare,600,2021
414,Medicare,600,2022
424,Medicare,600,2022
434,Medicare,600,2022
444,Medicare,600,2023
454,Medicare,600,2023
464,Medicare,600,2023
474,Medicare,600,2024
484,Medicare,600,2024
494,Medicare,600,2024
504,Medicare,600,2025
514,Medicare,600,2025
524,Medicare,600,2026
540,Medicare,600,2026
544,Medicare,600,2027
554,Medicare,600,2027
564,Medicare,600,2027
574,Medicare,600,2028
584,Medicare,600,2028
594,Medicare,600,2028
604,Medicare,600,2029
254,Medicare,600,2018
264,Medicare,600,2018
284,Medicare,600,2018
294,Medicare,600,2019
304,Medicare,600,2019
314,Medicare,600,2019
324,Medicare,600,2019
334,Medicare,600,2020
344,Medicare,600,2020
354,Medicare,600,2020
364,Medicare,600,2021
374,Medicare,600,2021
384,Medicare,600,2021
394,Medicare,600,2022
404,Medicare,600,2022
414,Medicare,600,2023
424,Medicare,600,2023
434,Medicare,600,2023
444,Medicare,600,2024
454,Medicare,600,2024
464,Medicare,600,2024
474,Medicare,600,2025
484,Medicare,600,2025
494,Medicare,600,2025
504,Medicare,600,2026
514,Medicare,600,2026
524,Medicare,600,2027
540,Medicare,600,2027
544,Medicare,600,2028
554,Medicare,600,2028
564,Medicare,600,2028
574,Medicare,600,2029
584,Medicare,600,2029
594,Medicare,600,2029
604,Medicare,600,2030
254,Medicare,600,2019
264,Medicare,600,2019
284,Medicare,600,2019
294,Medicare,600,2020
304,Medicare,600,2020
314,Medicare,600,2020
324,Medicare,600,2020
334,Medicare,600,2021
344,Medicare,600,2021
354,Medicare,600,2021
364,Medicare,600,2022
374,Medicare,600,2022
384,Medicare,600,2022
394,Medicare,600,2023
404,Medicare,600,2023
414,Medicare,600,2024
424,Medicare,600,2024
434,Medicare,600,2024
444,Medicare,600,2025
454,Medicare,600,2025
464,Medicare,600,2025
474,Medicare,600,2026
484,Medicare,600,2026
494,Medicare,600,2026
504,Medicare,600,2027
514,Medicare,600,2027
524,Medicare,600,2028
540,Medicare,600,2028
544,Medicare,600,2029
554,Medicare,600,2029
564,Medicare,600,2029
574,Medicare,600,2030
584,Medicare,600,2030
594,Medicare,600,2030
604,Medicare,600,2031
254,Social Security,600,2009
264,Social Security,600,2009
284,Social Security,600,2009
294,Social Security,600,2010
304,Social Security,600,2010
314,Social Security,600,2010
324,Social Security,600,2010
334,Social Security,600,2011
344,Social Security,600,2011
354,Social Security,600,2011
364,Social Security,600,2012
374,Social Security,600,2012
384,Social Security,600,2012
394,Social Security,600,2013
404,Social Security,600,2013
414,Social Security,600,2014
424,Social Security,600,2014
434,Social Security,600,2014
444,Social Security,600,2015
454,Social Security,600,2015
464,Social Security,600,2015
474,Social Security,600,2016
484,Social Security,600,2016
494,Social Security,600,2016
504,Social Security,600,2017
514,Social Security,600,2017
524,Social Security,600,2018
540,Social Security,600,2018
544,Social Security,600,2019
554,Social Security,600,2019
564,Social Security,600,2019
574,Social Security,600,2020
584,Social Security,600,2020
594,Social Security,600,2020
604,Social Security,600,2021
254,Social Security,600,2010
264,Social Security,600,2010
284,Social Security,600,2010
294,Social Security,600,2011
304,Social Security,600,2011
314,Social Security,600,2011
324,Social Security,600,2011
334,Social Security,600,2012
344,Social Security,600,2012
354,Social Security,600,2012
364,Social Security,600,2013
374,Social Security,600,2013
384,Social Security,600,2013
394,Social Security,600,2014
404,Social Security,600,2014
414,Social Security,600,2015
424,Social Security,600,2015
434,Social Security,600,2015
444,Social Security,600,2016
454,Social Security,600,2016
464,Social Security,600,2016
474,Social Security,600,2017
484,Social Security,600,2017
494,Social Security,600,2017
504,Social Security,600,2018
514,Social Security,600,2018
524,Social Security,600,2019
540,Social Security,600,2019
544,Social Security,600,2020
554,Social Security,600,2020
564,Social Security,600,2020
574,Social Security,600,2021
584,Social Security,600,2021
594,Social Security,600,2021
604,Social Security,600,2022
254,Social Security,600,2011
264,Social Security,600,2011
284,Social Security,600,2011
294,Social Security,600,2012
304,Social Security,600,2012
314,Social Security,600,2012
324,Social Security,600,2012
334,Social Security,600,2013
344,Social Security,600,2013
354,Social Security,600,2013
364,Social Security,600,2014
374,Social Security,600,2014
384,Social Security,600,2014
394,Social Security,600,2015
404,Social Security,600,2015
414,Social Security,600,2016
424,Social Security,600,2016
434,Social Security,600,2016
444,Social Security,600,2017
454,Social Security,600,2017
464,Social Security,600,2017
474,Social Security,600,2018
484,Social Security,600,2018
494,Social Security,600,2018
504,Social Security,600,2019
514,Social Security,600,2019
524,Social Security,600,2020
540,Social Security,600,2020
544,Social Security,600,2021
554,Social Security,600,2021
564,Social Security,600,2021
574,Social Security,600,2022
584,Social Security,600,2022
594,Social Security,600,2022
604,Social Security,600,2023
254,Social Security,600,2012
264,Social Security,600,2012
284,Social Security,600,2012
294,Social Security,600,2013
304,Social Security,600,2013
314,Social Security,600,2013
324,Social Security,600,2013
334,Social Security,600,2014
344,Social Security,600,2014
354,Social Security,600,2014
364,Social Security,600,2015
374,Social Security,600,2015
384,Social Security,600,2015
394,Social Security,600,2016
404,Social Security,600,2016
414,Social Security,600,2017
424,Social Security,600,2017
434,Social Security,600,2017
444,Social Security,600,2018
454,Social Security,600,2018
464,Social Security,600,2018
474,Social Security,600,2019
484,Social Security,600,2019
494,Social Security,600,2019
504,Social Security,600,2020
514,Social Security,600,2020
524,Social Security,600,2021
540,Social Security,600,2021
544,Social Security,600,2022
554,Social Security,600,2022
564,Social Security,600,2022
574,Social Security,600,2023
584,Social Security,600,2023
594,Social Security,600,2023
604,Social Security,600,2024
254,Social Security,600,2013
264,Social Security,600,2013
284,Social Security,600,2013
294,Social Security,600,2014
304,Social Security,600,2014
314,Social Security,600,2014
324,Social Security,600,2014
334,Social Security,600,2015
344,Social Security,600,2015
354,Social Security,600,2015
364,Social Security,600,2016
374,Social Security,600,2016
384,Social Security,600,2016
394,Social Security,600,2017
404,Social Security,600,2017
414,Social Security,600,2018
424,Social Security,600,2018
434,Social Security,600,2018
444,Social Security,600,2019
454,Social Security,600,2019
464,Social Security,600,2019
474,Social Security,600,2020
484,Social Security,600,2020
494,Social Security,600,2020
504,Social Security,600,2021
514,Social Security,600,2021
524,Social Security,600,2022
540,Social Security,600,2022
544,Social Security,600,2023
554,Social Security,600,2023
564,Social Security,600,2023
574,Social Security,600,2024
584,Social Security,600,2024
594,Social Security,600,2024
604,Social Security,600,2025
254,Social Security,600,2014
264,Social Security,600,2014
284,Social Security,600,2014
294,Social Security,600,2015
304,Social Security,600,2015
314,Social Security,600,2015
324,Social Security,600,2015
334,Social Security,600,2016
344,Social Security,600,2016
354,Social Security,600,2016
364,Social Security,600,2017
374,Social Security,600,2017
384,Social Security,600,2017
394,Social Security,600,2018
404,Social Security,600,2018
414,Social Security,600,2019
424,Social Security,600,2019
434,Social Security,600,2019
444,Social Security,600,2020
454,Social Security,600,2020
464,Social Security,600,2020
474,Social Security,600,2021
484,Social Security,600,2021
494,Social Security,600,2021
504,Social Security,600,2022
514,Social Security,600,2022
524,Social Security,600,2023
540,Social Security,600,2023
544,Social Security,600,2024
554,Social Security,600,2024
564,Social Security,600,2024
574,Social Security,600,2025
584,Social Security,600,2025
594,Social Security,600,2025
604,Social Security,600,2026
254,Social Security,600,2015
264,Social Security,600,2015
284,Social Security,600,2015
294,Social Security,600,2016
304,Social Security,600,2016
314,Social Security,600,2016
324,Social Security,600,2016
334,Social Security,600,2017
344,Social Security,600,2017
354,Social Security,600,2017
364,Social Security,600,2018
374,Social Security,600,2018
384,Social Security,600,2018
394,Social Security,600,2019
404,Social Security,600,2019
414,Social Security,600,2020
424,Social Security,600,2020
434,Social Security,600,2020
444,Social Security,600,2021
454,Social Security,600,2021
464,Social Security,600,2021
474,Social Security,600,2022
484,Social Security,600,2022
494,Social Security,600,2022
504,Social Security,600,2023
514,Social Security,600,2023
524,Social Security,600,2024
540,Social Security,600,2024
544,Social Security,600,2025
554,Social Security,600,2025
564,Social Security,600,2025
574,Social Security,600,2026
584,Social Security,600,2026
594,Social Security,600,2026
604,Social Security,600,2027
254,Social Security,600,2016
264,Social Security,600,2016
284,Social Security,600,2016
294,Social Security,600,2017
304,Social Security,600,2017
314,Social Security,600,2017
324,Social Security,600,2017
334,Social Security,600,2018
344,Social Security,600,2018
354,Social Security,600,2018
364,Social Security,600,2019
374,Social Security,600,2019
384,Social Security,600,2019
394,Social Security,600,2020
404,Social Security,600,2020
414,Social Security,600,2021
424,Social Security,600,2021
434,Social Security,600,2021
444,Social Security,600,2022
454,Social Security,600,2022
464,Social Security,600,2022
474,Social Security,600,2023
484,Social Security,600,2023
494,Social Security,600,2023
504,Social Security,600,2024
514,Social Security,600,2024
524,Social Security,600,2025
540,Social Security,600,2025
544,Social Security,600,2026
554,Social Security,600,2026
564,Social Security,600,2026
574,Social Security,600,2027
584,Social Security,600,2027
594,Social Security,600,2027
604,Social Security,600,2028
254,Social Security,600,2017
264,Social Security,600,2017
284,Social Security,600,2017
294,Social Security,600,2018
304,Social Security,600,2018
314,Social Security,600,2018
324,Social Security,600,2018
334,Social Security,600,2019
344,Social Security,600,2019
354,Social Security,600,2019
364,Social Security,600,2020
374,Social Security,600,2020
384,Social Security,600,2020
394,Social Security,600,2021
404,Social Security,600,2021
414,Social Security,600,2022
424,Social Security,600,2022
434,Social Security,600,2022
444,Social Security,600,2023
454,Social Security,600,2023
464,Social Security,600,2023
474,Social Security,600,2024
484,Social Security,600,2024
494,Social Security,600,2024
504,Social Security,600,2025
514,Social Security,600,2025
524,Social Security,600,2026
540,Social Security,600,2026
544,Social Security,600,2027
554,Social Security,600,2027
564,Social Security,600,2027
574,Social Security,600,2028
584,Social Security,600,2028
594,Social Security,600,2028
604,Social Security,600,2029
254,Social Security,600,2018
264,Social Security,600,2018
284,Social Security,600,2018
294,Social Security,600,2019
304,Social Security,600,2019
314,Social Security,600,2019
324,Social Security,600,2019
334,Social Security,600,2020
344,Social Security,600,2020
354,Social Security,600,2020
364,Social Security,600,2021
374,Social Security,600,2021
384,Social Security,600,2021
394,Social Security,600,2022
404,Social Security,600,2022
414,Social Security,600,2023
424,Social Security,600,2023
434,Social Security,600,2023
444,Social Security,600,2024
454,Social Security,600,2024
464,Social Security,600,2024
474,Social Security,600,2025
484,Social Security,600,2025
494,Social Security,600,2025
504,Social Security,600,2026
514,Social Security,600,2026
524,Social Security,600,2027
540,Social Security,600,2027
544,Social Security,600,2028
554,Social Security,600,2028
564,Social Security,600,2028
574,Social Security,600,2029
584,Social Security,600,2029
594,Social Security,600,2029
604,Social Security,600,2030
254,Social Security,600,2019
264,Social Security,600,2019
284,Social Security,600,2019
294,Social Security,600,2020
304,Social Security,600,2020
314,Social Security,600,2020
324,Social Security,600,2020
334,Social Security,600,2021
344,Social Security,600,2021
354,Social Security,600,2021
364,Social Security,600,2022
374,Social Security,600,2022
384,Social Security,600,2022
394,Social Security,600,2023
404,Social Security,600,2023
414,Social Security,600,2024
424,Social Security,600,2024
434,Social Security,600,2024
444,Social Security,600,2025
454,Social Security,600,2025
464,Social Security,600,2025
474,Social Security,600,2026
484,Social Security,600,2026
494,Social Security,600,2026
504,Social Security,600,2027
514,Social Security,600,2027
524,Social Security,600,2028
540,Social Security,600,2028
544,Social Security,600,2029
554,Social Security,600,2029
564,Social Security,600,2029
574,Social Security,600,2030
584,Social Security,600,2030
594,Social Security,600,2030
604,Social Security,600,2031
254,Medicaid,600,2009
264,Medicaid,600,2009
284,Medicaid,600,2009
294,Medicaid,600,2010
304,Medicaid,600,2010
314,Medicaid,600,2010
324,Medicaid,600,2010
334,Medicaid,600,2011
344,Medicaid,600,2011
354,Medicaid,600,2011
364,Medicaid,600,2012
374,Medicaid,600,2012
384,Medicaid,600,2012
394,Medicaid,600,2013
404,Medicaid,600,2013
414,Medicaid,600,2014
424,Medicaid,600,2014
434,Medicaid,600,2014
444,Medicaid,600,2015
454,Medicaid,600,2015
464,Medicaid,600,2015
474,Medicaid,600,2016
484,Medicaid,600,2016
494,Medicaid,600,2016
504,Medicaid,600,2017
514,Medicaid,600,2017
524,Medicaid,600,2018
540,Medicaid,600,2018
544,Medicaid,600,2019
554,Medicaid,600,2019
564,Medicaid,600,2019
574,Medicaid,600,2020
584,Medicaid,600,2020
594,Medicaid,600,2020
604,Medicaid,600,2021
254,Medicaid,600,2010
264,Medicaid,600,2010
284,Medicaid,600,2010
294,Medicaid,600,2011
304,Medicaid,600,2011
314,Medicaid,600,2011
324,Medicaid,600,2011
334,Medicaid,600,2012
344,Medicaid,600,2012
354,Medicaid,600,2012
364,Medicaid,600,2013
374,Medicaid,600,2013
384,Medicaid,600,2013
394,Medicaid,600,2014
404,Medicaid,600,2014
414,Medicaid,600,2015
424,Medicaid,600,2015
434,Medicaid,600,2015
444,Medicaid,600,2016
454,Medicaid,600,2016
464,Medicaid,600,2016
474,Medicaid,600,2017
484,Medicaid,600,2017
494,Medicaid,600,2017
504,Medicaid,600,2018
514,Medicaid,600,2018
524,Medicaid,600,2019
540,Medicaid,600,2019
544,Medicaid,600,2020
554,Medicaid,600,2020
564,Medicaid,600,2020
574,Medicaid,600,2021
584,Medicaid,600,2021
594,Medicaid,600,2021
604,Medicaid,600,2022
254,Medicaid,600,2011
264,Medicaid,600,2011
284,Medicaid,600,2011
294,Medicaid,600,2012
304,Medicaid,600,2012
314,Medicaid,600,2012
324,Medicaid,600,2012
334,Medicaid,600,2013
344,Medicaid,600,2013
354,Medicaid,600,2013
364,Medicaid,600,2014
374,Medicaid,600,2014
384,Medicaid,600,2014
394,Medicaid,600,2015
404,Medicaid,600,2015
414,Medicaid,600,2016
424,Medicaid,600,2016
434,Medicaid,600,2016
444,Medicaid,600,2017
454,Medicaid,600,2017
464,Medicaid,600,2017
474,Medicaid,600,2018
484,Medicaid,600,2018
494,Medicaid,600,2018
504,Medicaid,600,2019
514,Medicaid,600,2019
524,Medicaid,600,2020
540,Medicaid,600,2020
544,Medicaid,600,2021
554,Medicaid,600,2021
564,Medicaid,600,2021
574,Medicaid,600,2022
584,Medicaid,600,2022
594,Medicaid,600,2022
604,Medicaid,600,2023
254,Medicaid,600,2012
264,Medicaid,600,2012
284,Medicaid,600,2012
294,Medicaid,600,2013
304,Medicaid,600,2013
314,Medicaid,600,2013
324,Medicaid,600,2013
334,Medicaid,600,2014
344,Medicaid,600,2014
354,Medicaid,600,2014
364,Medicaid,600,2015
374,Medicaid,600,2015
384,Medicaid,600,2015
394,Medicaid,600,2016
404,Medicaid,600,2016
414,Medicaid,600,2017
424,Medicaid,600,2017
434,Medicaid,600,2017
444,Medicaid,600,2018
454,Medicaid,600,2018
464,Medicaid,600,2018
474,Medicaid,600,2019
484,Medicaid,600,2019
494,Medicaid,600,2019
504,Medicaid,600,2020
514,Medicaid,600,2020
524,Medicaid,600,2021
540,Medicaid,600,2021
544,Medicaid,600,2022
554,Medicaid,600,2022
564,Medicaid,600,2022
574,Medicaid,600,2023
584,Medicaid,600,2023
594,Medicaid,600,2023
604,Medicaid,600,2024
254,Medicaid,600,2013
264,Medicaid,600,2013
284,Medicaid,600,2013
294,Medicaid,600,2014
304,Medicaid,600,2014
314,Medicaid,600,2014
324,Medicaid,600,2014
334,Medicaid,600,2015
344,Medicaid,600,2015
354,Medicaid,600,2015
364,Medicaid,600,2016
374,Medicaid,600,2016
384,Medicaid,600,2016
394,Medicaid,600,2017
404,Medicaid,600,2017
414,Medicaid,600,2018
424,Medicaid,600,2018
434,Medicaid,600,2018
444,Medicaid,600,2019
454,Medicaid,600,2019
464,Medicaid,600,2019
474,Medicaid,600,2020
484,Medicaid,600,2020
494,Medicaid,600,2020
504,Medicaid,600,2021
514,Medicaid,600,2021
524,Medicaid,600,2022
540,Medicaid,600,2022
544,Medicaid,600,2023
554,Medicaid,600,2023
564,Medicaid,600,2023
574,Medicaid,600,2024
584,Medicaid,600,2024
594,Medicaid,600,2024
604,Medicaid,600,2025
254,Medicaid,600,2014
264,Medicaid,600,2014
284,Medicaid,600,2014
294,Medicaid,600,2015
304,Medicaid,600,2015
314,Medicaid,600,2015
324,Medicaid,600,2015
334,Medicaid,600,2016
344,Medicaid,600,2016
354,Medicaid,600,2016
364,Medicaid,600,2017
374,Medicaid,600,2017
384,Medicaid,600,2017
394,Medicaid,600,2018
404,Medicaid,600,2018
414,Medicaid,600,2019
424,Medicaid,600,2019
434,Medicaid,600,2019
444,Medicaid,600,2020
454,Medicaid,600,2020
464,Medicaid,600,2020
474,Medicaid,600,2021
484,Medicaid,600,2021
494,Medicaid,600,2021
504,Medicaid,600,2022
514,Medicaid,600,2022
524,Medicaid,600,2023
540,Medicaid,600,2023
544,Medicaid,600,2024
554,Medicaid,600,2024
564,Medicaid,600,2024
574,Medicaid,600,2025
584,Medicaid,600,2025
594,Medicaid,600,2025
604,Medicaid,600,2026
254,Medicaid,600,2015
264,Medicaid,600,2015
284,Medicaid,600,2015
294,Medicaid,600,2016
304,Medicaid,600,2016
314,Medicaid,600,2016
324,Medicaid,600,2016
334,Medicaid,600,2017
344,Medicaid,600,2017
354,Medicaid,600,2017
364,Medicaid,600,2018
374,Medicaid,600,2018
384,Medicaid,600,2018
394,Medicaid,600,2019
404,Medicaid,600,2019
414,Medicaid,600,2020
424,Medicaid,600,2020
434,Medicaid,600,2020
444,Medicaid,600,2021
454,Medicaid,600,2021
464,Medicaid,600,2021
474,Medicaid,600,2022
484,Medicaid,600,2022
494,Medicaid,600,2022
504,Medicaid,600,2023
514,Medicaid,600,2023
524,Medicaid,600,2024
540,Medicaid,600,2024
544,Medicaid,600,2025
554,Medicaid,600,2025
564,Medicaid,600,2025
574,Medicaid,600,2026
584,Medicaid,600,2026
594,Medicaid,600,2026
604,Medicaid,600,2027
254,Medicaid,600,2016
264,Medicaid,600,2016
284,Medicaid,600,2016
294,Medicaid,600,2017
304,Medicaid,600,2017
314,Medicaid,600,2017
324,Medicaid,600,2017
334,Medicaid,600,2018
344,Medicaid,600,2018
354,Medicaid,600,2018
364,Medicaid,600,2019
374,Medicaid,600,2019
384,Medicaid,600,2019
394,Medicaid,600,2020
404,Medicaid,600,2020
414,Medicaid,600,2021
424,Medicaid,600,2021
434,Medicaid,600,2021
444,Medicaid,600,2022
454,Medicaid,600,2022
464,Medicaid,600,2022
474,Medicaid,600,2023
484,Medicaid,600,2023
494,Medicaid,600,2023
504,Medicaid,600,2024
514,Medicaid,600,2024
524,Medicaid,600,2025
540,Medicaid,600,2025
544,Medicaid,600,2026
554,Medicaid,600,2026
564,Medicaid,600,2026
574,Medicaid,600,2027
584,Medicaid,600,2027
594,Medicaid,600,2027
604,Medicaid,600,2028
254,Medicaid,600,2017
264,Medicaid,600,2017
284,Medicaid,600,2017
294,Medicaid,600,2018
304,Medicaid,600,2018
314,Medicaid,600,2018
324,Medicaid,600,2018
334,Medicaid,600,2019
344,Medicaid,600,2019
354,Medicaid,600,2019
364,Medicaid,600,2020
374,Medicaid,600,2020
384,Medicaid,600,2020
394,Medicaid,600,2021
404,Medicaid,600,2021
414,Medicaid,600,2022
424,Medicaid,600,2022
434,Medicaid,600,2022
444,Medicaid,600,2023
454,Medicaid,600,2023
464,Medicaid,600,2023
474,Medicaid,600,2024
484,Medicaid,600,2024
494,Medicaid,600,2024
504,Medicaid,600,2025
514,Medicaid,600,2025
524,Medicaid,600,2026
540,Medicaid,600,2026
544,Medicaid,600,2027
554,Medicaid,600,2027
564,Medicaid,600,2027
574,Medicaid,600,2028
584,Medicaid,600,2028
594,Medicaid,600,2028
604,Medicaid,600,2029
254,Medicaid,600,2018
264,Medicaid,600,2018
284,Medicaid,600,2018
294,Medicaid,600,2019
304,Medicaid,600,2019
314,Medicaid,600,2019
324,Medicaid,600,2019
334,Medicaid,600,2020
344,Medicaid,600,2020
354,Medicaid,600,2020
364,Medicaid,600,2021
374,Medicaid,600,2021
384,Medicaid,600,2021
394,Medicaid,600,2022
404,Medicaid,600,2022
414,Medicaid,600,2023
424,Medicaid,600,2023
434,Medicaid,600,2023
444,Medicaid,600,2024
454,Medicaid,600,2024
464,Medicaid,600,2024
474,Medicaid,600,2025
484,Medicaid,600,2025
494,Medicaid,600,2025
504,Medicaid,600,2026
514,Medicaid,600,2026
524,Medicaid,600,2027
540,Medicaid,600,2027
544,Medicaid,600,2028
554,Medicaid,600,2028
564,Medicaid,600,2028
574,Medicaid,600,2029
584,Medicaid,600,2029
594,Medicaid,600,2029
604,Medicaid,600,2030
254,Medicaid,600,2019
264,Medicaid,600,2019
284,Medicaid,600,2019
294,Medicaid,600,2020
304,Medicaid,600,2020
314,Medicaid,600,2020
324,Medicaid,600,2020
334,Medicaid,600,2021
344,Medicaid,600,2021
354,Medicaid,600,2021
364,Medicaid,600,2022
374,Medicaid,600,2022
384,Medicaid,600,2022
